time,open,high,low,close,volume
2022-04-18 21:45:00,136.888,136.939,136.86,136.935,624
2022-04-18 22:00:00,136.933,136.933,136.844,136.855,721
2022-04-18 22:15:00,136.854,136.87,136.82,136.845,578
2022-04-18 22:30:00,136.842,136.857,136.821,136.848,551
2022-04-18 22:45:00,136.846,136.903,136.826,136.881,679
2022-04-18 23:00:00,136.882,136.917,136.873,136.889,384
2022-04-18 23:15:00,136.891,136.919,136.879,136.912,351
2022-04-18 23:30:00,136.913,136.945,136.912,136.939,473
2022-04-18 23:45:00,136.938,136.941,136.913,136.913,139
2022-04-19 00:00:00,136.831,136.868,136.831,136.865,31
2022-04-19 00:15:00,136.857,136.891,136.851,136.891,79
2022-04-19 00:30:00,136.878,136.901,136.878,136.901,226
2022-04-19 00:45:00,136.9,136.965,136.892,136.961,426
2022-04-19 01:00:00,136.956,137.039,136.938,137.027,629
2022-04-19 01:15:00,137.028,137.044,137.009,137.037,597
2022-04-19 01:30:00,137.039,137.045,136.986,136.986,280
2022-04-19 01:45:00,136.981,137.013,136.981,137.012,235
2022-04-19 02:00:00,137.012,137.097,137.004,137.058,581
2022-04-19 02:15:00,137.056,137.082,137.053,137.064,299
2022-04-19 02:30:00,137.066,137.096,137.023,137.033,576
2022-04-19 02:45:00,137.034,137.073,137.022,137.06,614
2022-04-19 03:00:00,137.059,137.094,136.944,137.048,1349
2022-04-19 03:15:00,137.05,137.129,137.035,137.107,867
2022-04-19 03:30:00,137.107,137.176,137.058,137.14,860
2022-04-19 03:45:00,137.138,137.236,137.116,137.23,1305
2022-04-19 04:00:00,137.229,137.381,137.205,137.361,966
2022-04-19 04:15:00,137.361,137.367,137.222,137.291,1089
2022-04-19 04:30:00,137.29,137.467,137.271,137.412,1357
2022-04-19 04:45:00,137.412,137.463,137.376,137.418,951
2022-04-19 05:00:00,137.428,137.5,137.371,137.438,1040
2022-04-19 05:15:00,137.439,137.469,137.426,137.452,703
2022-04-19 05:30:00,137.453,137.664,137.453,137.569,1074
2022-04-19 05:45:00,137.57,137.599,137.521,137.552,994
2022-04-19 06:00:00,137.549,137.559,137.445,137.533,888
2022-04-19 06:15:00,137.532,137.718,137.529,137.702,963
2022-04-19 06:30:00,137.703,137.808,137.688,137.728,1012
2022-04-19 06:45:00,137.727,137.857,137.7,137.806,828
2022-04-19 07:00:00,137.804,137.874,137.79,137.831,784
2022-04-19 07:15:00,137.83,137.944,137.817,137.871,754
2022-04-19 07:30:00,137.868,138.075,137.83,138.04,1201
2022-04-19 07:45:00,138.038,138.081,137.987,138.038,1214
2022-04-19 08:00:00,138.035,138.067,137.961,137.986,852
2022-04-19 08:15:00,137.985,138.041,137.948,138.029,1009
2022-04-19 08:30:00,138.028,138.117,137.99,138.056,1129
2022-04-19 08:45:00,138.05,138.147,138.049,138.091,878
2022-04-19 09:00:00,138.091,138.211,138.016,138.13,1224
2022-04-19 09:15:00,138.135,138.25,138.086,138.176,1148
2022-04-19 09:30:00,138.181,138.29,138.169,138.272,1014
2022-04-19 09:45:00,138.273,138.349,138.255,138.256,1114
2022-04-19 10:00:00,138.256,138.259,137.855,137.947,2051
2022-04-19 10:15:00,137.944,138.133,137.837,138.119,1851
2022-04-19 10:30:00,138.124,138.194,138.105,138.163,1484
2022-04-19 10:45:00,138.162,138.356,138.138,138.339,1419
2022-04-19 11:00:00,138.336,138.496,138.319,138.48,1248
2022-04-19 11:15:00,138.481,138.632,138.464,138.557,1159
2022-04-19 11:30:00,138.56,138.84,138.56,138.74,1579
